audio,contain speech,female speak,male speak,female transcript,male transcript,annotate,useful annotates,female chunk number,aligned female chunk number,female align percentage,male chunk number,aligned male chunk number,male align percentage,Arousal,Valence,Arousal_binary,Valence_binary,check annotation,check female transcript,check male transcript,check date,romantic interaction,romantic interaction & both speak
P_001\Day_0\Hour_2\07-21-2019 02_36_41,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_001\Day_1\Hour_15\07-22-2019 15_23_56,yes,no,no,0,0,1,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_001\Day_1\Hour_16\07-08-2019 16_56_01,yes,yes,yes,1,1,1,54,13,11,0.846153846,19,19,1,-1,-1,-1,-1,1,1,1,0,1,1
P_001\Day_2\Hour_10\07-16-2019 10_44_00,yes,yes,no,1,0,1,2,2,2,1,-1,-1,-1,100,95,1,1,1,1,1,1,0,-1
P_001\Day_2\Hour_16\07-16-2019 16_44_00,yes,yes,yes,1,1,1,5,2,2,1,2,2,1,95,100,1,1,1,1,1,1,1,1
P_001\Day_2\Hour_17\07-16-2019 17_44_00,no,no,no,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_001\Day_2\Hour_18\07-16-2019 18_24_27,yes,yes,yes,1,1,1,29,18,12,0.666666667,11,10,0.909090909,98,94,1,1,1,1,1,1,1,1
P_001\Day_2\Hour_19\07-16-2019 19_44_00,yes,yes,yes,1,1,1,8,10,9,0.9,3,0,0,-1,-1,-1,-1,1,1,1,1,1,1
P_001\Day_2\Hour_20\07-16-2019 20_44_00,yes,yes,no,1,0,1,1,2,1,0.5,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,0
P_001\Day_2\Hour_21\07-16-2019 21_44_00,yes,yes,no,1,0,1,3,6,3,0.5,-1,-1,-1,61,80,1,1,1,1,1,1,1,0
P_001\Day_2\Hour_9\07-16-2019 09_00_26,yes,yes,yes,1,1,0,-1,7,-1,-1,2,-1,-1,83,77,1,1,0,1,1,1,1,1
P_001\Day_3\Hour_10\07-17-2019 10_44_00,yes,yes,yes,1,1,0,-1,7,-1,-1,5,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1
P_001\Day_3\Hour_16\07-17-2019 16_06_50,yes,yes,yes,1,1,1,13,20,9,0.45,7,4,0.571428571,100,100,1,1,1,1,1,1,1,1
P_001\Day_3\Hour_17\07-17-2019 17_02_08,yes,yes,yes,1,1,1,46,18,15,0.833333333,16,15,0.9375,100,100,1,1,1,1,1,1,1,1
P_001\Day_3\Hour_18\07-17-2019 18_44_00,yes,yes,no,1,0,1,8,20,8,0.4,-1,-1,-1,80,86,1,1,1,1,1,1,0,-1
P_001\Day_3\Hour_19\07-17-2019 19_09_54,yes,yes,yes,1,1,1,19,8,8,1,3,2,0.666666667,32,95,0,1,1,1,1,1,1,1
P_001\Day_3\Hour_20\07-17-2019 20_44_00,yes,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,38,80,0,1,1,1,1,1,0,-1
P_001\Day_3\Hour_21\07-17-2019 21_44_00,yes,yes,no,1,0,1,5,6,4,0.666666667,-1,-1,-1,41,82,0,1,1,1,1,1,1,0
P_001\Day_3\Hour_9\07-17-2019 09_01_14,yes,yes,yes,1,1,1,20,14,13,0.928571429,10,7,0.7,100,100,1,1,1,1,1,1,1,1
P_001\Day_6\Hour_4\07-20-2019 04_06_42,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_001\Day_6\Hour_9\07-20-2019 09_17_01,yes,yes,no,1,0,1,4,5,4,0.8,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_002\Day_1\Hour_12\07-15-2019 12_25_16,yes,yes,yes,1,1,0,-1,16,-1,-1,5,-1,-1,63,72,1,1,0,1,1,0,1,1
P_003\Day_1\Hour_19\11-18-2019 19_44_21,yes,yes,no,1,0,1,1,9,2,0.222222222,-1,-1,-1,68,79,1,1,1,1,1,1,0,-1
P_003\Day_1\Hour_20\11-18-2019 20_44_21,yes,yes,no,1,0,1,0,10,0,0,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_003\Day_1\Hour_6\11-18-2019 06_44_17,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,30,63,0,1,1,1,1,1,0,-1
P_003\Day_2\Hour_19\11-19-2019 19_01_25,yes,yes,yes,1,1,1,11,18,6,0.333333333,6,2,0.333333333,60,68,1,1,1,1,1,1,1,1
P_003\Day_2\Hour_20\11-19-2019 20_02_31,yes,yes,yes,1,0,1,16,12,4,0.333333333,-1,-1,-1,54,75,1,1,1,1,0,1,1,1
P_003\Day_2\Hour_6\11-19-2019 06_44_25,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,0,-1
P_003\Day_3\Hour_19\11-20-2019 19_01_14,yes,yes,yes,1,1,1,21,16,8,0.5,7,0,0,23,74,0,1,1,1,1,1,1,1
P_003\Day_3\Hour_20\11-20-2019 20_00_45,no,no,no,0,0,1,0,-1,-1,-1,-1,-1,-1,26,69,0,1,1,1,1,1,0,-1
