Name,Accelerometer_Day,Accelerometer_Hour,Accelerometer_Mean,Accelerometer_Std,Accelerometer_Min,Accelerometer_Q1,Accelerometer_Q2,Accelerometer_Q3,Accelerometer_Max,Accelerometer_Skew,Accelerometer_Kurtosis,Accelerometer_Range
P_001_Day_2_Hour_09,2,9,9.832230462495119,0.4623434968033532,8.947115192906287,9.468533754205804,9.828386219680354,10.190330140014154,10.757227395990222,0.03721242490724676,-0.9241513217777793,1.8101122030839356
P_001_Day_2_Hour_16,2,16,9.763555956889995,0.05200241212022804,9.535395850916121,9.734095332640369,9.762142666246561,9.790506284389298,10.000749529963617,0.17289567934425143,2.91924610666121,0.4653536790474959
P_001_Day_2_Hour_18,2,18,9.835036494357134,0.812431946395095,8.263704511239029,9.250285173636488,9.785947467898119,10.418223915681118,11.544527287835248,0.1283563434396295,-0.7489553759293122,3.280822776596219
P_001_Day_3_Hour_09,3,9,9.74447770553145,0.1707132476116672,9.160720333427554,9.67829532250095,9.732610052841448,9.808734854784026,10.355362677861812,0.23046402853254913,3.068398086792934,1.1946423444342589
P_001_Day_3_Hour_16,3,16,9.784609674484736,0.23552762338531782,9.092240058504487,9.685176457182775,9.776954164816718,9.868883880529562,10.535766948722042,0.2567235163131145,1.6095649383932873,1.443526890217555
P_001_Day_3_Hour_17,3,17,9.800019545441655,0.1533864773603128,9.355266977719428,9.719142797905784,9.809652337790334,9.874105969389868,10.257401140449474,-0.009597613976633784,0.8036050369653425,0.9021341627300465
P_001_Day_3_Hour_19,3,19,9.756735767479332,0.15265588601893074,9.395125765494228,9.669141061737339,9.745306523168757,9.841221064588323,10.136713520396938,0.18249354336241502,-0.013741664197528092,0.7415877549027101
P_003_Day_2_Hour_19,2,19,9.935495051460702,1.0389063267595098,7.847134903563,9.279405331739508,9.791704339408792,10.596900154314362,12.34597515836514,0.29727651829079854,-0.44321118737456855,4.498840254802141
P_003_Day_2_Hour_20,2,20,9.684071205113964,0.18193053252095495,8.960077615665927,9.628767661938625,9.659849956977693,9.714505287962497,10.489303996700922,1.0092118292987737,6.594764716925992,1.529226381034995
P_003_Day_3_Hour_19,3,19,9.742582504515624,0.2184422938294955,8.758612593856643,9.707245063168422,9.74078540623152,9.776537271983226,10.79035813161901,0.07101691601490195,7.285991051421568,2.031745537762367
P_003_Day_4_Hour_19,4,19,9.786253164308125,0.3437713507961898,8.703583998526847,9.701885645310455,9.761314868225563,9.836528222641732,11.036752535821485,0.4888383721224778,2.9321933220295895,2.333168537294638
P_003_Day_5_Hour_19,5,19,9.802790195386304,0.3661952708632737,8.764186212169173,9.673808278994546,9.765629700458698,9.905203754655421,10.948626088210188,0.4183521563098019,1.536043002086374,2.184439876041015
P_003_Day_6_Hour_09,6,9,9.867397196208948,0.5894299498770743,8.307224811657354,9.65143742609825,9.831369836427102,10.026875488440641,11.640953626964121,0.35790608954582437,1.1926580797090622,3.333728815306767
P_003_Day_6_Hour_10,6,10,10.119246916872227,1.2591949663917785,7.678380701796157,9.26371191493287,9.98742139807127,10.909423828484133,13.08515231579672,0.3171252441232948,-0.4767328438507108,5.406771614000562
P_003_Day_6_Hour_12,6,12,9.761409189008315,0.24053240034069312,8.960125228348993,9.678297534138105,9.768810613417614,9.835252649134416,10.626666058320984,0.12712935059630248,2.7379120601679405,1.666540829971991
P_003_Day_6_Hour_13,6,13,9.833528487735707,0.22266182529865924,9.13450489022281,9.756571705103669,9.820382759488252,9.890907387024527,10.616513589214742,0.3831653092651944,2.2808769607783574,1.4820086989919314
P_004_Day_0_Hour_09,0,9,9.919344089125518,0.4235134083764245,8.870121335186235,9.755718204587012,9.895859861420812,10.05556185594132,11.076219833080547,0.305872967723616,0.7388173643123657,2.2060984978943114
P_004_Day_0_Hour_10,0,10,9.939422155225865,0.15880115593977567,9.407996033254255,9.86356963928195,9.949394682840527,10.021739410759285,10.518170265588354,0.09039110195161813,1.629778307458186,1.1101742323340993
P_004_Day_0_Hour_15,0,15,10.331019065101016,1.410982082275482,7.643506347730412,9.424294062991743,10.030190716799543,11.237751581495042,13.54418301230194,0.4215693123698165,-0.4882030513528508,5.900676664571527
P_004_Day_0_Hour_18,0,18,9.927071941679916,0.5828328418849329,8.406494483050983,9.732924883307811,9.883011063579819,10.038363027552435,11.698785675060723,0.47127914218779343,1.5930972751757535,3.29229119200974
P_004_Day_0_Hour_19,0,19,9.960148351005328,0.13389047946721264,9.377279956266484,9.875373635619361,9.971396885050922,10.028763895392242,10.58201409600166,0.3763485148802095,3.804894140077269,1.2047341397351765
P_004_Day_0_Hour_20,0,20,9.969585386718226,0.6492647125796069,8.437088845298224,9.695654990094212,9.875020700408554,10.182527995919179,11.776862573149598,0.5508462164902855,0.6509074459799664,3.339773727851375
P_004_Day_2_Hour_21,2,21,9.830005218074096,0.2725710347214988,9.175383405556726,9.724463782947328,9.814306100210302,9.933809922190324,10.550187310100918,0.1731376792045269,0.5254714619090799,1.3748039045441924
P_004_Day_4_Hour_07,4,7,9.938137498671379,0.40674877581515445,8.951963250599073,9.780707693732976,9.886722119793554,10.087251777273078,11.034355747724298,0.3737514431200577,0.5331223758899624,2.082392497125225
P_004_Day_4_Hour_17,4,17,9.972365567751318,0.3707561560617755,9.134276567276915,9.724762445478628,9.974170920461399,10.223391553242546,10.844850903041834,-0.0074169975299787205,-0.4420865939512493,1.7105743357649192
P_004_Day_5_Hour_18,5,18,9.90261148092017,0.1250052249604888,9.4514789018473,9.864280956559021,9.904142108223468,9.943999108088585,10.37899776174376,-0.026673024718808433,3.4837921220192234,0.927518859896459
P_004_Day_5_Hour_19,5,19,9.887667434863465,0.32158842586844694,9.102258675149567,9.741223036211444,9.886409404976746,10.017254559546913,10.72177506778,0.1129973300041249,0.4049617086433108,1.6195163926304321
P_004_Day_5_Hour_20,5,20,10.016689395704915,0.105092459897198,9.629487636396215,9.97026993930189,10.016457146137956,10.055464773449373,10.430889887313791,0.42888847901253624,3.085980769173675,0.801402250917576
P_004_Day_5_Hour_21,5,21,10.025520308104566,0.10906314274157418,9.62442949383022,9.982381526540482,10.021651355397953,10.061067374955758,10.452872848932678,0.47906420233330654,3.224170020544358,0.8284433551024577
P_004_Day_5_Hour_22,5,22,9.981942366297183,0.25132096828253103,9.086217147021436,9.930216136868117,9.966633221277734,10.006543623788847,10.966414331484005,0.554229812263237,4.798534039849876,1.8801971844625687
P_004_Day_6_Hour_08,6,8,9.913647562430546,0.4454769966446249,8.874014996133223,9.724737281186187,9.865213582056576,10.108536760003867,11.021745384890712,0.28797671746540654,0.15438451170214318,2.1477303887574895
P_005_Day_0_Hour_11,0,11,9.89816125457103,0.4077725104519422,9.020990294179366,9.684363540275022,9.863619940850933,10.110741699342645,10.835357213394321,0.22789492825379776,-0.20079760677981406,1.8143669192149545
P_005_Day_0_Hour_12,0,12,9.941377046415308,0.6451813839364341,8.67060462860283,9.532631343320341,9.844714543905184,10.336436239316914,11.398880819161105,0.3228470446452846,-0.46928182780521777,2.728276190558276
P_005_Day_0_Hour_19,0,19,9.950161779514499,0.5854190327287275,8.74705750005448,9.620899290929037,9.886979280952579,10.258452609762498,11.34358183533701,0.3177153437170462,-0.21031488044358193,2.596524335282531
P_005_Day_0_Hour_20,0,20,9.838731806552198,0.1949427271309773,9.311934090500634,9.750372491359254,9.829863615323294,9.906987535938423,10.400540631503668,0.29111150052915197,0.9793886363980868,1.0886065410030348
P_005_Day_2_Hour_19,2,19,9.940019893772494,0.633483347523914,8.599248296971668,9.669813880771127,9.759654736612065,10.293917254840323,11.513701518973948,0.4837437167691811,-0.0627741528838941,2.9144532220022796
P_005_Day_2_Hour_22,2,22,9.933737836288028,0.7510484130509902,8.321822246142082,9.575352470656286,9.78852385638368,10.276332247191116,11.873248212300538,0.5008088366542162,0.14119263537096494,3.5514259661584564
P_005_Day_3_Hour_06,3,6,9.720058444548046,0.021845397962039312,9.677295233894178,9.702912737005713,9.720334112609768,9.737521004020714,9.762355649202258,-0.025167523036627715,-0.9554794341946367,0.08506041530807984
